text,tweet_id,sentiment,annotator,annotation_id,created_at,updated_at,lead_time
Cómo serán los cálculos del equipo de Fajardo... Y lo que más me sorprende es que ni él entiende su propuesta pensional 🙄 #ElDebateDefinitivo,1528937928751304704,"{""choices"": [""Sorpresa"", ""Tristeza""]}",,,2023-01-10T13:58:10.566296Z,2023-01-10T13:58:53.441789Z,1177.744
#ElDebateDefinitivo conclusión: @sergio_fajardo es un completo idiota...de verdad que si no pierde votos hoy...la gente es muy tonta!.,1528918181888270337,"{""choices"": [""Ira"", ""Asco""]}",,,2023-01-10T13:53:02.307827Z,2023-01-10T13:53:10.317319Z,834.794
#ElDebateDefinitivo ya empezaron los que “no dividen ni atacan” JAJAJAJAJAJAJ igual nada quita que #PetroGanaDebate https://t.co/yEIqmdKnK0,1528949742968967168,,,,2023-01-10T14:08:16.994075Z,2023-01-10T14:08:16.994079Z,8.548
"Petro entiende muy bien que Fico tiene más votos que él, no hizo más que coquetear con Fajardo que lo ha rechazado una y otra vez. Si hubiera ido Rodolfo le chupa trompa.  #ElDebateDefinitivo",1528946887629451265,Asco,,,2023-01-10T14:08:07.308010Z,2023-01-10T14:08:07.308013Z,10.267
Dos almas heridas de orgullos quedaron muy lastimadas después que Petro expuso un sólido y robusto plan de gobierno. DIOS LO BENDIGA   #PetroPresidenteEnPrimera #ElDebateDefinitivo,1528948234051280896,Alegría,,,2023-01-10T14:07:55.918739Z,2023-01-10T14:07:55.918742Z,11.262
#ElDebateDefinitivo…¿por qué no fue John Mitón?,1528945271186591744,,,,2023-01-10T14:07:43.217322Z,2023-01-10T14:07:43.217326Z,15.089
"Vicky: Fico que piensa cuando ve la campaña de ""NarcotraFICO"" Fico: Es culpa de Petro  Petro Be like  #ElDebateDefinitivo https://t.co/BPr4Y9eH3E",1528938152810930176,,,,2023-01-10T14:07:26.962783Z,2023-01-10T14:07:26.962786Z,478.937
Fajardo responda algo: YO Federico: cuando yo fui alcalde #ElDebateDefinitivo,1528938148822241280,,,,2023-01-10T13:59:26.672545Z,2023-01-10T13:59:26.672550Z,13.915
"Fajardo tiene la misma propuesta de petro en pensiones, y ni el mismo lo sabe. Petro se lo tuvo que explicar. #ElDebateDefinitivo",1528936500745973760,Tristeza,,,2023-01-10T13:59:11.670099Z,2023-01-10T13:59:11.670104Z,14.002
"@petrogustavo R/ (Piedad y Roy) Los dos primeros son parlamentarios elegidos, son y serán senadores. Fajardo: ¿Roy Barreras es parlamentario elegido? ¿Fajardo dónde vive 🤣? #ElDebateDefinitivo",1528937621501661184,,,,2023-01-10T13:57:55.739063Z,2023-01-10T13:57:55.739067Z,11.081
Será que los petristas sí entenderán lo que significa una buena peinada?   #ElDebateDefinitivo https://t.co/i73z9ISb0P,1528934962463907842,,,,2023-01-10T13:57:43.382906Z,2023-01-10T13:57:43.382909Z,29.884
Y a este mk quien lo invito? #ElDebateDefinitivo,1528932196949663745,Asco,,,2023-01-10T13:57:12.428678Z,2023-01-10T13:57:12.428683Z,10.861
"Fico acaba de demostrar que no sirve ni para hacer una pregunta, le dan la oportunidad de hacerle una pregunta a Fajardo y va y le pregunta por el tema que se ha pasado hablando durante todo el debate.. #ElDebateDefinitivo",1528929360719355904,Asco,,,2023-01-10T13:54:35.634013Z,2023-01-10T13:54:35.634017Z,20.436
"#ElDebateDefinitivo Cómo es que a uno le preguntan si Ajiaco o bandeja paisa, pero si es muy difícil esa entonces que escoja entre Bogotá y Medellín jajaja pero al otro candidato si se le encara con que si pondrá o no impuestos a las Iglesias.",1528924229692956673,,,,2023-01-10T13:54:13.900518Z,2023-01-10T13:54:13.900522Z,14.244
"#ElDebateDefinitivo le falta a Federico Gutiérrez decir que ""vamos a vivir sabroso"" y ya se termina de robar todo el discurso de Petro.  Consejo. Si alguien se le roba la idea al otro. No vayan por el que se roba la idea, vayan por el que es el original.",1528921475553669128,Asco,,,2023-01-10T13:53:53.182760Z,2023-01-10T13:53:53.182763Z,15.431
Lo mejor de #ElDebateDefinitivo es mi cuñado pensando que el moderador era Rodolfo.,1528921538090655744,,,,2023-01-10T13:53:36.584628Z,2023-01-10T13:53:36.584633Z,6.265
"Federico: bueno dos cosas • Cuando fui alcalde de Medellín • Los consejos que mi papá me daba  Fin, gracias por su atención que gran debate   #ElDebateDefinitivo",1528919115775238144,Asco,,,2023-01-10T13:53:29.084073Z,2023-01-10T13:53:29.084077Z,14.096
"No hay nada definido, votemos con libertad por la persona que tiene las mejores propuestas, con @sergio_fajardo   Colombia cambiará, no dejarse llevar por las encuestas, a votar el domingo #ElDebateDefinitivo #YoVotoPorFajardo por la colombia que queremos!!!!! https://t.co/cCFQPRpRtQ",1528917531565731840,Alegría,,,2023-01-10T13:52:50.586567Z,2023-01-10T13:52:50.586571Z,8.393
"Fico y su micrófono escondido en su sede de campaña, hmmmmmya jajajaja  #ElDebateDefinitivo",1528914947845021696,,,,2023-01-10T13:52:41.063650Z,2023-01-10T13:52:41.063655Z,10.1
"#DebateElTiempoSemana  @sergio_fajardo tiene toda la razón cuando dice :” yo no inspiro nada”, sus posturas siguen siendo respuestas que buscan no molestar a nadie y mostrarse éticamente correcto, pero son eso, nada  #ElDebateDefinitivo  #Colombia",1528915145300353025,Asco,,,2023-01-10T13:52:29.881312Z,2023-01-10T13:52:29.881317Z,23.772
"#EldebateDefinitivo en Chile no ha pasado nada...antes se aumento el salario mínimo en %mas alto de la historia,la gente va a votar por una nueva Constitución, Boric fue elegido dentro de los 100 más influyentes del mundo en Forbes",1528915216079065088,,,,2023-01-10T13:52:04.979511Z,2023-01-10T13:52:04.979515Z,13.737
Fico se enfanga con lo del perdón social. Ya lo verán. Petro si ha estudiado el tema. #ElDebateDefinitivo,1528915471323521026,,,,2023-01-10T13:51:50.186829Z,2023-01-10T13:51:50.186832Z,5.032
"#ElDebateDefinitivo ha sido de lejos el peor que se ha hecho, los moderadores no tienen nada de autoridad y no se entiende el orden en lo absoluto.   @RevistaSemana nada de seriedad, que horror.",1528911745108123650,Asco,,,2023-01-10T13:51:44.011072Z,2023-01-10T13:51:44.011076Z,8.985
"Me da miedo que el gamín de Fico le de un puño a Petro en la cara. Dios mío, es que lo tiene al lado. #ElDebateDefinitivo",1528907645544972288,,,,2023-01-10T13:51:33.718621Z,2023-01-10T13:51:33.718625Z,16.014
#ElDebateDefinitivo fico es aguevado...creia que petro iba a caer en la trampa. Es obvio que tiene que extraditar jajajaj,1528908094675333124,,,,2023-01-10T13:51:16.548646Z,2023-01-10T13:51:16.548650Z,26.741
#ElDebateDefinitivo  ¿Ya están diciendo que el cafre Petro los peinó a todos?,1528903851981553666,Asco,,,2023-01-10T13:50:48.255360Z,2023-01-10T13:50:48.255363Z,8.012
"Fajardo comienza el debate mostrando como las agresiones y señalamientos entre Fico y Petro generan una afectación a la población colombiana, afectación en la cual él no quiere participar #YoVotoPorFajardo  #ElDebateDefinitivo #DebateElTiempoSemana",1528905779373391872,,,,2023-01-10T13:50:38.907335Z,2023-01-10T13:50:38.907340Z,53.932
#ElDebateDefinitivo viendo a Fico sin una palabra significativa. #YoVotoPorFajardo por sus palabras sensatas y posturas claras. El único sin lugares comunes!,1528903235209150465,Alegría,,,2023-01-10T13:49:43.784533Z,2023-01-10T13:49:43.784537Z,175.021
"#ElDebateDefinitivo mi voto es por @FicoGutierrez. Jamás votaré por el que intento asesinar a mi padre, un guerrillero que sólo quiere el poder para perpetuarse. Ciegos los que piensan que @petrogustavo es el mesías.",1528898629708169217,Asco,,,2023-01-10T13:46:47.241311Z,2023-01-10T13:46:47.241316Z,26.477
Para quienes han migrado de internet fijo de @Tigo_Colombia a @MovistarCo en Medellín en los últimos días/meses... ¿Qué tal les ha ido? #MeInquieta,1528806026643968002,,,,2023-01-10T13:46:19.654376Z,2023-01-10T13:46:19.654379Z,11.745
#MeInquieta que @AndresPastrana_ esté generando miedo e inquietud y... posible violencia el día de elecciones si no queda el candidato que cada uno quiere. Y @FiscaliaCol @PoliciaColombia @PGN_COL no dicen nada.  Estos últimos son corresponsables de lo que pueda pasar el donimgo,1528704766028697601,Miedo,,,2023-01-10T13:46:06.852813Z,2023-01-10T13:46:06.852817Z,16.778
"#MeInquieta ver como en Colombia solo se recuerdan los campesinos en las regiones apartadas, cuando sucede algo que genera morbo violencia o tristeza.",1528679668345360385,Sorpresa,,,2023-01-10T13:45:48.969428Z,2023-01-10T13:45:48.969433Z,142.835
"#FedericoEsColombia pero no será presidente, el país se mamo de estos falsos profetas paisas disfrazados de buena gente que tuvieron la oportunidad de dejar huella pero que solo han dejando desolación, hambre, pobreza y sangre por donde caminan",1528701830447960064,Asco,,,2023-01-10T13:43:24.912114Z,2023-01-10T13:43:24.912118Z,9.054
#FedericoEsColombia corrupta y llena de clanes,1528545198409662468,Asco,,,2023-01-10T13:43:14.766424Z,2023-01-10T13:43:14.766427Z,6.392
@darcyquinnr #UnTramposoEs los periodistas que tiene una posición imparcial y utiliza el periodismo para hacer propaganda política.,1528857198503284736,Asco,,,2023-01-10T13:43:07.053660Z,2023-01-10T13:43:07.053665Z,4.634
#UnTramposoEs el uribismo en todas sus presentaciones,1528812189678972928,Asco,,,2023-01-10T13:43:01.313803Z,2023-01-10T13:43:01.313807Z,5.24
"#UnTramposoEs el ExPresidiario con sus múltiples Cartas bajo la manga, por eso  #MiVotoEsPetroYFrancia Ojo con el Voto. https://t.co/U8VgRz8VuR",1528787526718201860,Asco,,,2023-01-10T13:42:54.867059Z,2023-01-10T13:42:54.867063Z,7.982
#UnTramposoEs quien con noticias falsas se queire tomar el poder @darcyquinnr,1528695959907180547,Asco,,,2023-01-10T13:42:45.668883Z,2023-01-10T13:42:45.668887Z,18.107
"@darcyquinnr #UnTramposoEs el que se vale de su posición como ""periodista"" para servir como lavaperros, terminan haciendo cochinadas con los socios del esposo mientras lo de ”periodista"" ni siquiera lo había terminado. Bandidos finalmente.",1528687395423629312,Asco,,,2023-01-10T13:42:26.406978Z,2023-01-10T13:42:26.406983Z,54.952
#UnTramposoEs el que inventa aplazar las elecciones para incendiar el País El pánico en la campaña del @PactoHistorico y @petrogustavo  es evidente Cortinas de humo pues #PetroNuncaSeráPresidente,1528688067267149824,Asco,,,2023-01-10T13:41:30.196286Z,2023-01-10T13:41:30.196291Z,28.998
"@emiliolagos1 #MiVotoEsPetroYFrancia Quiero llegar a los 1.000 seguidores. Estamos a puertas de un cambio histórico #ProgresistaSigueProgresista Devolveré el follow a cada uno, vamos a crecer en comunidad, así le hacemos frente a la desinformación entre todos.  ME AYUDAN!! 🔄",1528849330932695040,,,,2023-01-10T13:41:00.058355Z,2023-01-10T13:41:00.058359Z,10.208
Por que Colombia necesita cambio #MiVotoEsPetroYFrancia,1528584113933934593,,,,2023-01-09T13:22:24.475197Z,2023-01-09T13:22:24.475204Z,7.705
Ya no quieroas de los mismo #MiVotoEsPetroYFrancia,1528557117858357249,Asco,,,2023-01-09T13:22:14.984575Z,2023-01-09T13:22:14.984579Z,14.253
#MiVotoEsPetroYFrancia y nadie lo puede negar,1528552249265467394,,,,2023-01-09T13:21:59.358377Z,2023-01-09T13:21:59.358382Z,2.708
"Isssss @petrogustavo llamará a la ONU para que investigue la corrupción, se va a caer toda la estantería de la corrupción en Colombia. #MiVotoEsPetroYFrancia",1528543164067459072,"{""choices"": [""Ira"", ""Asco""]}",,,2023-01-09T13:21:55.366528Z,2023-01-09T13:21:55.366533Z,16.179
"Papi, Fiquito, en tu tierra somos muchos lo que no te comemos cuento. Antioquia no es de Uribe, Antioquia se respeta.   #MiVotoEsPetroYFrancia",1528511395746152449,Asco,,,2023-01-09T13:21:37.778701Z,2023-01-09T13:21:37.778706Z,13.201
"AVANZA EL PLAN GOLPE A LA DEMOCRACIA, EL NARCOESTADO PARAMILITAR Y SU MAFIA CORRUPTA NO DESEAN PERDER EL PODER #MiVotoEsPetroYFrancia https://t.co/riWZi2IP4G",1528510805007900672,"{""choices"": [""Miedo"", ""Asco""]}",,,2023-01-09T13:21:23.249770Z,2023-01-09T13:21:23.249773Z,17.87
"Hay que parar la guerra que desangra nuestra Nación y garantizar la materialización de los derechos fundamentales para todos los colombianos con el fin de vivir dignamente, vivir sabroso. #MiVotoEsPetroYFrancia",1528508445569306628,,,,2023-01-09T13:21:04.063845Z,2023-01-09T13:21:04.063850Z,14.02
Admiro mucho el trabajo y talento de @sergiobarbosach en la campaña de Petro. Gracias por hacer parte del cambio y estar del lado correcto de la historia. #MiVotoEsPetroYFrancia,1528501595012534273,Alegría,,,2023-01-09T13:20:48.236730Z,2023-01-09T13:20:48.236735Z,6.408
"Los únicos que deben de tener miedo a un cambio de Gustavo Petro son los corruptos, narcotraFICO, paramilitares y los vividores del estado que perderán sus privilegios!! #MiVotoEsPetroYFrancia",1528497422695030786,"{""choices"": [""Ira"", ""Asco""]}",,,2023-01-09T13:17:34.088640Z,2023-01-09T13:17:34.088645Z,156.263
"Por un cambio, por la esperanza de un mejor país, por la vida de líderes jóvenes y líderes sociales, #MiVotoEsPetroYFrancia",1528473443271835653,Alegría,,,2023-01-09T13:14:56.172293Z,2023-01-09T13:14:56.172299Z,5.396
#LoPeorDeEstasElecciones que no vayan a los debates,1528379195545501696,Otra,,,2023-01-09T13:14:49.393529Z,2023-01-09T13:14:49.393534Z,7.007
"#LoPeorDeEstasElecciones la falta de ética del periodismo, todos haciendo campaña por Petro 🤥 o por Fico Trataron de invisibilizar al Profesor y la gente del común indignada, va a terminar eligiendo al ingeniero. Chupen de su cocinado medios mediocres de comunicación de Colombia",1528362842734436352,"{""choices"": [""Ira"", ""Asco""]}",,,2023-01-09T13:14:40.889868Z,2023-01-09T13:14:40.889872Z,11.828
"#FedericoEsColombia  ¡Gracias Medellin! 🙏🏻  Gracias por tanto apoyo, por ratificar  que Fico Gutiérrez es el cambio, pero el cambio para mejorar, para lograr que las regiones crezcan y sean centro de desarrollo.   #FicoUneAcolombia #FicoPresidente https://t.co/QMpqttqWXO",1528517416652873728,Alegría,,,2023-01-09T13:14:27.779513Z,2023-01-09T13:14:27.779518Z,16.275
Patria Honor lealtad !!  #FedericoEsColombia,1528503220875714560,Alegría,,,2023-01-09T13:14:10.177380Z,2023-01-09T13:14:10.177385Z,173.636
#FedericoEsColombia este 29 de Mayo salgamos todos a votar por la democracia y la libertad de colombia unidos por nuestro país #FedericoImparable #FedericoEsColombia #FicoPresidente2022,1528415123450343432,Alegría,,,2023-01-09T13:11:15.196172Z,2023-01-09T13:11:15.196178Z,6.299
"@RollingStoneCol @FranciaMarquezM Que va,  es la candidata  de Las Farc ,  del Eln.  Comunismo puro .   #FedericoEsColombia",1528401859635040256,Asco,,,2023-01-09T13:11:07.597495Z,2023-01-09T13:11:07.597500Z,16.175
Fico va a hacer énfasis en la educación! Mi voto es por él este 29 de mayo #FedericoEsColombia https://t.co/uBK5QwhXx2,1528376868986044416,Alegría,,,2023-01-09T13:10:49.927996Z,2023-01-09T13:10:49.928001Z,7.43
"#FedericoEsColombia Todos vamos a defender la democracia con FEDERICO.  Vota sí a la democracia, vota FEDERICO GUTIÉRREZ.",1528366244113547264,Alegría,,,2023-01-09T13:10:41.073877Z,2023-01-09T13:10:41.073882Z,5.104
@Ximena62005874 Con FICO me identifico   Con LARA la tengo clara.  #FedericoEsColombia,1528363136348262403,Alegría,,,2023-01-09T13:10:34.559526Z,2023-01-09T13:10:34.559531Z,11.822
"Karma. Es un aviso. Pero es tan descarado el KKs que culpará de esto a las Black Eagles, al continuismo, la oligarquía, a Uribe.  Se le desmorona su campaña, levantada a punta de mentiras, fake news, promesas falsas e incumplibles.  #FedericoEsColombia  #PetroNuncaSeráPresidente https://t.co/JKPFmgaGwU",1528360303347515393,"{""choices"": [""Ira"", ""Asco""]}",,,2023-01-09T13:10:21.269002Z,2023-01-09T13:10:21.269006Z,163.148
"@FicoGutierrez #FicoPropone @FicoGutierrez #FedericoEsColombia así es,nada nos detiene,ni el agua,ni el granizo impidió que Medellín se volcara para para acompañár y escuchár al escogído por los paisas y millones de Colombianos ¡Domingo apoteósico!  #NosUnimosONosJodemos  #FicoPresidente 🇨🇴 https://t.co/2tL7Af8hys",1528513296575434752,"{""choices"": [""Alegría"", ""Otra""]}",,,2023-01-09T13:07:36.256222Z,2023-01-09T13:07:36.256227Z,54.802
"#NosUnimosONosJodemos SIMPLE COINCIDENCIA? El CULEBRERO figura pinturesca de la fauna nacional se caracterizaba por su grotesca VERBORREA y quien con su CHACHARA embaucaba a despistados y desocupados,solo BLA,BLA,BLA y de HACER poco Le recuerda a algún candidato? PIENSE SU VOTO!",1528410307651043333,Asco,,,2023-01-09T13:05:54.920905Z,2023-01-09T13:05:54.920911Z,47.02
"#NosUnimosONosJodemos es una persona de fiar, no tiene rabo de paja, es un buen administrador y gestor, une, da confianza y hace la politica que es a favor del pueblo, es temeroso de Dios.",1528357012517621762,Alegría,,,2023-01-09T13:05:02.839666Z,2023-01-09T13:05:02.839671Z,808.351
